PARAMETRIC_CURVE_CARTESIAN_2D
Log spiral
t1: 0
t2: 20
NumPoints: 201
0 1 0 
0.1 0.946477 0.0949645 
0.2 0.886801 0.179763 
0.3 0.822266 0.254357 
0.4 0.754101 0.318829 
0.5 0.683462 0.373377 
0.6 0.611424 0.418297 
0.7 0.538975 0.453973 
0.8 0.467016 0.480858 
0.9 0.396356 0.499471 
1 0.32771 0.510378 
1.1 0.261702 0.514182 
1.2 0.198866 0.511514 
1.3 0.139647 0.503021 
1.4 0.0844032 0.48936 
1.5 0.0334139 0.471183 
1.6 -0.0131202 0.449137 
1.7 -0.0550701 0.423852 
1.8 -0.0923735 0.395937 
1.9 -0.125029 0.365973 
2 -0.153092 0.334512 
2.1 -0.176665 0.30207 
2.2 -0.195895 0.269125 
2.3 -0.210967 0.236118 
2.4 -0.222099 0.203446 
2.5 -0.229531 0.171465 
2.6 -0.233529 0.140491 
2.7 -0.234372 0.110794 
2.8 -0.232349 0.0826071 
2.9 -0.227758 0.0561208 
3 -0.220897 0.0314881 
3.1 -0.212064 0.00882541 
3.2 -0.201552 -0.0117855 
3.3 -0.189645 -0.030295 
3.4 -0.176618 -0.0466831 
3.5 -0.162732 -0.060957 
3.6 -0.148233 -0.0731481 
3.7 -0.133353 -0.0833099 
3.8 -0.118304 -0.0915147 
3.9 -0.103281 -0.0978513 
4 -0.088461 -0.102422 
4.1 -0.0739999 -0.105341 
4.2 -0.0600356 -0.10673 
4.3 -0.0466868 -0.106719 
4.4 -0.0340535 -0.105441 
4.5 -0.0222177 -0.103031 
4.6 -0.0112443 -0.0996263 
4.7 -0.0011815 -0.0953618 
4.8 0.00793773 -0.09037 
4.9 0.0160948 -0.0847794 
5 0.0232844 -0.0787133 
5.1 0.0295131 -0.0722892 
5.2 0.0347984 -0.0656173 
5.3 0.0391672 -0.0588007 
5.4 0.0426549 -0.051934 
5.5 0.0453037 -0.0451037 
5.6 0.0471622 -0.0383874 
5.7 0.0482834 -0.031854 
5.8 0.0487241 -0.0255639 
5.9 0.0485439 -0.0195686 
6 0.0478041 -0.0139113 
6.1 0.0465665 -0.00862702 
6.2 0.0448934 -0.00374311 
6.3 0.0428461 0.000720511 
6.4 0.0404844 0.0047508 
6.5 0.0378664 0.00834111 
6.6 0.0350476 0.0114906 
6.7 0.0320805 0.0142039 
6.8 0.0290146 0.0164902 
6.9 0.0258957 0.0183629 
7 0.0227659 0.0198393 
7.1 0.0196634 0.0209394 
7.2 0.0166224 0.021686 
7.3 0.0136733 0.0221038 
7.4 0.0108424 0.0222192 
7.5 0.00815208 0.0220596 
7.6 0.00562088 0.0216531 
7.7 0.00326376 0.021028 
7.8 0.00109216 0.0202124 
7.9 -0.000885757 0.0192343 
8 -0.00266493 0.0181207 
8.1 -0.00424312 0.0168978 
8.2 -0.0056207 0.0155904 
8.3 -0.0068004 0.0142222 
8.4 -0.00778703 0.0128152 
8.5 -0.00858724 0.0113898 
8.6 -0.00920925 0.00996471 
8.7 -0.00966264 0.00855682 
8.8 -0.00995806 0.00718123 
8.9 -0.010107 0.00585121 
9 -0.0101217 0.00457822 
